,shop,phone,location
160,롯데마트,02-442-8604,서울 강동구 상일동 342번지
161,동원마트,02-476-4756,서울 강동구 성내동 412-6번지
162,그린슈퍼,02-476-0509,서울 강동구 길동 355-1번지
163,시흥식품,02-808-5861,서울 금천구 시흥동 121-10 1층
164,대성미니슈퍼,02-865-0207,서울 관악구 신림동 566-8
165,럭키슈퍼,02-803-7900,서울 금천구 시흥동 985-12 신라상가114호
166,혜성슈퍼,02-877-5707,서울 관악구 신림동 1535
167,유창슈퍼,02-805-7947,서울 금천구 독산동 1136 진도아파트상가101호
168,대화식품,02-867-6372,서울 금천구 독산동 296-16
169,대부,02-2207-8899,서울 중랑구 묵동 181-61 1층
170,로또 마트,02-532-4487,서울 서초구 서초동 1303-16
171,로또판매,02-549-9755,서울 강남구 일원동 645-6 1층 일월마트
172,강남자곡로또,02-000-0000,서울 강남구 자곡동 651 111-2호
173,그루터기(상일쉼터),070-8826-2056,서울 강동구 고덕동 236-3
174,이마트24 강동본점,02-474-6059,서울 강동구 성내동 38-3
175,쌍둥이네복권방,02-486-7630,서울 강동구 암사동 500번지 1층
176,강일코사할인마트,,서울 강동구 강일동 699 105호
177,왕대박,02-985-7440,서울 강북구 송중동 134-94 1층 CU편의점
178,로또복권판매,02-985-8689,서울 강북구 번동 433-54번지
179,오로라복권방,02-3437-6868,서울 광진구 자양동 616-33번지 국민은행자양동지점 50m
180,성민로또방,02-2069-3044,서울 구로구 신도림동 292-37번지 1층
181,일성,02-903-8959,서울 도봉구 창동 578-38번지
182,대박,02-2212-7072,서울 동대문구 답십리동 495-1번지
183,장안홈타운,02-2244-3661,서울 동대문구 장안동 355-1
184,로또마트,02-2243-1696,서울 동대문구 장안동 418-11번지 1층 4호
185,준로또,02-2215-2359,서울 동대문구 장안동 427-2
186,로또복권판매,02-832-1760,서울 동작구 신대방동 395-68
187,대박로또,,서울 성동구 용답동 49-17
188,로또복권,02-918-0457,서울 성북구 하월곡동 62-4번지
189,어머화장품,02-420-1506,서울 송파구 석촌동 261-17번지
190,신천대로점,02-425-3534,서울 송파구 잠실동 175-12번지 CU편의점내
191,설반,02-407-9106,서울 송파구 가락동 47-14번지 1층3호
192,여명슈퍼마켓,02-916-6303,서울 성북구 장위동 230-188번지
193,행운마트,02-913-3535,서울 성북구 하월곡동 90-121번지
194,아이지에이,02-917-1988,서울 성북구 정릉동 780번지 산장아파트산장상가1층15호
195,데이앤나잇,02-916-6584,서울 성북구 종암동 132 종암우림카이저팰리스 1층 101호
196,일공일사(1014),02-3443-0022,서울 성북구 성북동1가 116
197,한양슈퍼복권,02-921-1971,서울 성북구 보문동5가 148번지
198,보원상회,02-923-2136,서울 성북구 보문동7가 22-14번지
199,크로바,02-764-5685,서울 종로구 창신동 411-16
200,보성상회,02-457-9067,서울 광진구 자양동 774-14번지
201,세븐일레븐 강변테크노마트점,02-3424-1091,서울 광진구 구의동 546-4번지 테크노마트지하판매동1층D004
202,현대식품,02-447-5227,서울 광진구 구의동 243-22번지
203,성우미니마트,02-419-9436,서울 송파구 송파1동 122-9
204,럭키슈퍼,02-422-9745,서울 송파구 송파동 87-20번지
205,제일유통,02-470-8052,서울 송파구 가락동 97번지
206,명진슈퍼,02-430-9938,서울 송파구 문정동 97-4번지
207,해피데이마트,02-409-9792,서울 송파구 문정동 30-17번지 1층
208,행운마트,02-400-4317,서울 송파구 오금동 85-8번지 1층
209,우일,02-430-8418,서울 송파구 마천동 25-2번지
210,혜성슈퍼,02-406-5020,서울 송파구 가락동 132-7번지
211,한일슈퍼,02-430-1863,서울 송파구 마천동 329-30번지
212,동원식품,02-400-5821,서울 송파구 가락동 154-18번지
213,그린마트,02-422-6664,서울 송파구 방이동 67-12번지
214,양광마트,02-376-1492,서울 은평구 응암동 598-11번지
215,피터팬,02-387-6478,서울 은평구 녹번동 206번지
216,쎄븐타임,02-794-6227,서울 용산구 효창동 5-219번지 1층102호
217,아이비즈마트,02-711-1862,서울 용산구 서계동 264-3번지
218,해태24시,02-2696-1735,서울 양천구 신월동 126-35 1층
219,로또행운마트,02-2696-1907,서울 양천구 신월동 52-11번지 1층
220,롯데마트999(회기점),02-965-5093,서울 동대문구 회기동 60-125번지 롯데마트999내 위치함.
221,우성빨래방,02-2217-7890,서울 동대문구 장안동 306-3번지 우성휠포커스텔1층104호
222,세븐일레븐마포구청점,02-306-6697,서울 마포구 성산동 591-1번지 대우이안1차 106호
223,CU경기대사거리점,02-365-4097,서울 서대문구 충정로2가 184-7
224,스파,02-951-6465,서울 노원구 상계동 666-3 주공10단지종합상가111
225,로그인,02-2296-5492,서울 광진구 중곡동 634-4번지
226,오렌지스토아,02-497-6355,서울 광진구 중곡동 245-1번지 우진빌딩1층
227,MS마트,02-458-8649,서울 광진구 구의동 229-7
228,가로매점,02-981-4399,서울 강북구 미아동 35-4번지 cgv 앞 가판
229,교통카드판매소,02-990-3087,서울 강북구 수유동 191-14번지 가판
230,구청앞로또명당,02-998-1293,서울 강북구 수유동 191-58번지
231,토큰판매점,02-980-1191,서울 강북구 미아동 60-5번지 가판
232,토큰박스,02-997-0564,서울 강북구 번동 446-50번지 KFC앞 가판
233,일등복권방,02-2691-8011,서울 양천구 신정동 992-1번지 보성빌딩105호
234,로또복권판매,,서울 영등포구 영등포동7가 76-2번지
235,만복복권,02-749-2928,서울 용산구 용문동 38-31
236,배임,02-749-0108,서울 용산구 보광동 217-31 와룡문구내
237,갑부복권,02-793-9633,서울 용산구 한남동 631-5번지
238,월드마켓,02-358-4624,서울 은평구 불광동 281-171
239,행운복권방,02-306-0568,서울 은평구 응암동 598-18번지 1층 3호
240,씨스페이스 역촌점,02-351-9810,서울 은평구 역촌동 51-79 1층 우측 두번째 점포
241,만물사,02-757-2861,서울 중구 남대문로4가 20-10번지
242,YG복권방,02-6031-8934,서울 중구 다동 155번지 YG타워 1층 111호
243,로또,02-2233-3885,서울 중구 신당동 133-14번지
244,다연마트,02-435-0087,서울 중랑구 면목동 150-4번지
245,행운로또방(CU양재역점),070-4211-6109,서울 강남구 도곡동 953-11 CU편의점
246,삼성복권,02-554-8887,서울 강남구 대치동 957-3 삼성슈퍼
247,몽유호가(夢有好家),02-476-1007,서울 강동구 성내동 319-33번지 1층5호
248,행운로또,,서울 강동구 길동 125-5
249,로또,,서울 강동구 천호동 289
250,우이담배가게,02-906-5311,서울 강북구 인수동 404-31번지
251,복권판매점,02-986-0326,서울 강북구 미아동 51-16
252,대박복권마트,02-2606-0034,서울 강서구 화곡동 111-67번지 1층 2호
253,월드복권,02-830-2633,서울 금천구 가산동 371-6 GBC 101호
254,정원복권방,02-994-1026,서울 도봉구 창동 655-20 1층 101-3호
255,행운복권방,,서울 도봉구 창동 134-36번지 우림빌딩106
256,성경스튜디오,02-963-4577,서울 동대문구 청량리동 678번지
257,세븐로또,02-961-3406,서울 동대문구 용두동 40-4번지
258,꽃돼지로또방,02-2249-2814,서울 동대문구 답십리동 469-1
259,청량로또,02-967-6354,서울 동대문구 청량리동 53-20
260,세명복권,02-392-3458,서울 마포구 서교동 453-3번지 1호
261,마포 스토리점 로또판매,02-336-6697,서울 마포구 서교동 445-4
262,대박복권방,02-923-7930,서울 성북구 동소문동5가 56-3
263,담배,02-981-1922,서울 강북구 미아동 777-3번지
264,가판대,02-2269-1951,서울 중구 을지로4가 28번지
265,국민은행앞가판점,02-2233-1757,서울 중구 을지로2가 9-1번지
266,종합가판제141호,02-2236-5931,서울 중구 황학동 686번지
267,가로판매점117호,02-2273-6671,서울 중구 을지로6가 18-88번지
268,토큰박스45,02-2277-0379,서울 중구 광희동1가 186-1번지
269,상호없음,02-2238-0417,서울 중구 신당제2동 365-13
270,가판점,02-2279-1953,서울 중구 을지로4가 140-1
271,종로3가1호선역2번출구가로판매점82호,02-743-6544,서울 종로구 종로3가 23-1 가판
272,가로판매대,02-723-5224,서울 종로구 교남동 46 육교에서 30m 떨어진 가판(협신빌딩앞 가판)
273,가야복권방,02-747-4604,서울 종로구 무악동 82 1층 103-1호
274,동대문1번출구앞가로가판점(65호),02-741-9781,서울 종로구 창신동 551
275,상호없음,02-722-5916,서울 종로구 신문로1가 10-1번지
276,SK텔레콤종로지점앞가판대,02-723-0485,서울 종로구 관철동 290 SK텔레콤종로지점 앞 가판대
277,신사우리가판,02-516-7234,서울 강남구 신사동 501-2
278,버스표판매소,02-542-6220,서울 강남구 압구정동 426번지 신현대9차 상가1동 출입구 앞
279,선릉가판점,02-557-3866,서울 강남구 역삼동 696-40
280,버스표판매소,02-3442-0452,서울 강남구 신사동 584-3
281,가로판매대(구)-3,02-515-2494,서울 강남구 압구정동 458
282,행복편의점,02-855-5485,서울 구로구 구로동 142-65번지
283,버스토큰판매소,02-856-5898,서울 구로구 구로동 1123-1번지 꽃집 옆 가판대
284,교통카드판매대,02-2633-1615,서울 구로구 신도림동 337번지
285,가판점,02-2611-0929,서울 구로구 온수동 119번지
286,종합가판점,02-861-1227,서울 구로구 구로동 435번지 구로구청 앞 버스정류장 앞 가로매점
287,서울구가-17가판,02-868-2488,서울 구로구 구로동 731-4번지 구로4동우체국앞가판
288,버스토큰판매소,02-2687-5284,서울 구로구 개봉동 157-13번지
289,명당복권,02-969-0959,서울 동대문구 용두동 711-4번지 가판
290,종합가판점,02-959-5686,서울 동대문구 전농동 620-69 청량리역 4번출구 가판점
291,스카라극장초동가판점,02-2267-2097,서울 중구 초동 40-1
292,상호없음,02-756-1097,서울 중구 태평로2가 43
293,명동2가로또가판대,02-777-7949,서울 중구 명동2가 97-2번지
294,가판100호,02-2277-6022,서울 중구 을지로3가 5-4번지
295,남대문회현역가판15호,02-319-3243,서울 중구 남창동 47-31번지
296,신가로판매점,02-756-7830,서울 중구 태평로2가 360-1번지
297,가로판매대제152호(신),02-734-0659,서울 중구 남대문로1가 22-6번지
298,가로가판대제57호(구),02-319-2598,서울 중구 태평로2가 69-1번지
299,종합가로가판점,02-2279-6931,서울 중구 광희동1가 202-1번지
300,중구가판12호,02-3789-1440,서울 중구 남대문로5가 541번지
301,가로판매대제18호,02-777-5573,서울 중구 회현동1가 203
302,대박복권방,070-8818-0645,서울 성북구 석관동 127-55번지
303,대만상사,02-6368-5949,서울 성북구 정릉동 394-3
304,윈윈,02-424-3313,서울 송파구 방이2동 70-2
305,윤진복권방,02-443-2440,서울 송파구 가락동 70 영남빌딩105호
306,석촌한솔점,02-422-0025,서울 송파구 석촌동 173-6 CU
307,복돼지방,000-0000-0000,서울 송파구 석촌동 212 E-MART24
308,CU로또 잠실점,,서울 송파구 잠실6동 7-28 101-2호 CU편의점
309,드림공인중개사사무소,02-2648-7722,서울 양천구 목동 526번지 광진상가1층104
310,중앙복권,02-2606-0393,서울 양천구 신월동 961-5번지 이프랜드내
311,하나아파텔점로또판매,02-831-2822,서울 영등포구 도림동 265-6번지 하나빌딩1층
312,골드복권방(웨이스탑면목점),,서울 중랑구 면목본동 126-4 1층
313,로또복권,02-6013-1788,서울 노원구 공릉1동 386-1번지
314,신나라복권나라,02-968-8438,서울 동대문구 이문제2동 251-7
315,살맛나는 세상,02-2214-3463,서울 동대문구 장안동 93-86 GS25시 휘경주공점
316,로또가맹점,02-2213-7058,서울 동대문구 신설동 98-27 101호
317,돼지슈퍼,02-717-5946,서울 마포구 합정동 387-1
318,로또복권방,02-921-6317,서울 성북구 동소문동3가 34번지
319,대명로또,02-408-5499,서울 송파구 마천동 123-12번지 1층
320,클로버 복권판매점,02-422-6782,서울 송파구 방이동 175-7번지 102호
321,태성철물,02-413-7824,서울 송파구 방이동 98-16
322,명로또,02-408-1551,서울 송파구 문정동 75-10번지
323,로또판매점,02-2696-5654,서울 양천구 신월동 550-3번지 승일뷰티타워 103호
324,대박복권방,02-2605-6832,서울 양천구 신정동 902-10번지 1층1호
325,천하명당로또,02-308-6946,서울 은평구 증산동 185-25번지 1층
326,위드미로또판매점,02-563-5552,서울 강남구 대치동 898-4
327,포이로또방,02-572-1044,서울 강남구 개포동 1218-24 1층
328,미아역점복권방,,서울 강북구 미아동 121-39 1층
329,로또대박복권,02-980-9807,서울 강북구 수유동 95-7번지 수유이테크밸리1층
330,로또복권판매,02-994-3036,서울 강북구 수유동 173-14번지 가판
331,공항로또,02-2664-6697,서울 강서구 공항동 28-5번지 7호
332,하나로유통,02-2093-1995,서울 강서구 염창동 240-21번지 우림블루나인쎈터상가 세븐일레븐내
333,행운의복권방,070-8658-3467,서울 관악구 봉천동 899-20
334,로또편의점,02-862-7908,서울 구로구 구로제5동 536-46 지1층
335,대박로또,02-855-0168,서울 구로구 구로제4동 771-10
336,로또복권방,02-2613-0108,서울 구로구 개봉동 63-4번지
337,중구-가로가판대-37,02-773-8798,서울 중구 남대문로3가 30-6번지
338,가로판매대제13호,02-319-2065,서울 중구 남창동 169-2번지
339,가판14호,02-778-8638,서울 중구 남창동 61-4번지
340,신문가판대,02-777-4576,서울 중구 남대문로5가 63-13
341,가로판매대,02-319-2731,서울 중구 회현동 202-2번지
342,신간판,02-318-8245,서울 중구 무교동 12-1번지
343,가로대가판점,02-355-8760,서울 은평구 대조동 6-5번지 롯데리아앞가판
344,황금대박점,02-948-7116,서울 노원구 하계동 180-11번지
345,가판점,02-973-8951,서울 노원구 중계동 507-3 노원구민회관앞
346,신문판매대,02-975-1893,서울 노원구 공릉동 661-1 공릉1동사무소앞
347,가판대,02-3491-7610,서울 도봉구 도봉동 30-1
348,운수대통가판점,02-2281-7211,서울 성동구 하왕십리동 966-14
349,KB행당동지점옆가판,02-2298-4620,서울 성동구 행당동 320-22번지
350,가로판매1-4-28,02-2299-0898,서울 성동구 마장동 521-10번지
351,신문가판대뚝섬역에스콰이야본사앞,02-497-9911,서울 성동구 성수동1가 656-297번지
352,토큰판매소,02-2216-6970,서울 성동구 용답동 128-3번지
353,만복당,02-2253-3026,서울 성동구 금호동1가 125-1 신한은행 앞
354,토마토,02-2291-1110,서울 성동구 사근동 3-3번지
355,우리은행금호동지점앞가판,02-2297-8965,서울 성동구 금호동4가 1109번지
356,버스판매소,02-2679-4659,서울 영등포구 영등포동4가 440번지 신세계앞
357,버스표판매소,02-2068-9457,서울 영등포구 당산동6가 306-1
358,가판점(신문),02-2636-6177,서울 영등포구 당산동6가 331-1번지
359,당산로또명당점,02-2634-0995,서울 영등포구 당산동6가 337-19번지
360,교통카드판매대,02-786-2480,서울 영등포구 여의도동 25-3
361,버스충전소,02-591-7947,서울 서초구 방배동 1763번지 가판
362,가판점,02-525-5609,서울 서초구 서초동 1602-2 가판
363,버스충전소,02-3476-0469,서울 서초구 잠원동 75-19 반포쇼핑3동정문앞
364,가로판매점,02-532-6682,서울 서초구 잠원동 69-3번지 한신4차입구
365,오케이상사,02-6282-2312,서울 서초구 반포동 19-3번지 센트럴시티내100호매점
366,버스카드충전소,02-596-1411,서울 서초구 잠원동 69-12 6동쇼핑앞
367,경영상회,02-3471-2562,서울 서초구 서초동 1329-8번지
368,드림로또,,서울 서초구 반포4동 19-4 쇼케이스12호
369,로또와 토토,02-593-5338,서울 서초구 방배동 923-6 121호
370,복권판매소,02-597-9395,서울 서초구 서초동 1575-3
371,행운복권마트,02-581-5673,서울 서초구 방배동 937-22 1층
372,경부선 하차장로또방,02-593-1945,서울 서초구 반포4동 19-4 코너1호점 (하차장로또)
373,교통카드충전,02-532-9471,서울 서초구 서초동 1317-20번지
374,교통카드,02-542-9887,서울 서초구 반포동 723-13
375,이마트24 편의점,02-532-2029,서울 서초구 반포4동 19-4 본관1층 쇼케이스4호
376,종합가판점,02-352-2774,서울 은평구 응암동 124-17번지
