,shop,phone,location,1st,2nd
78,CU(명일우량점),02-3427-5863,서울 강동구 명일동 48-12 타워팰리스 1층104호,,3.0
79,CU(성내중앙점),02-485-9505,서울 강동구 성내동 442 동양타워,,4.0
80,CU(노원마들점),02-937-2155,서울 노원구 상계동 649-3 1층 CU노원마들점,,1.0
81,CU(상계주공점),02-931-3570,서울 노원구 상계동 763-6번지,,2.0
82,CU(수유대로점),02-990-4895,서울 강북구 수유동 724-3번지 두울빌딩,3.0,5.0
83,CU(정릉센터점),02-941-6690,서울 성북구 정릉동 1020 101~104호 CU정릉센터점 내,2.0,4.0
84,CU(성북진영점),02-942-1529,서울 성북구 종암동 10-78,2.0,
85,CU(길음타운점),02-911-6435,서울 성북구 길음동 1284 지2층 A동 8호 CU길음타운점,,2.0
86,CU(월곡동아점),000-0000-0000,서울 성북구 상월곡동 55-76,,3.0
87,CU(망우점),02-436-4475,서울 중랑구 망우동 470-10번지,4.0,11.0
88,CU(역촌제일점),02-384-9066,서울 은평구 역촌동 78-45,2.0,11.0
89,CU(새절역점),02-306-3927,서울 은평구 신사동 336-1번지,,4.0
90,CU(이태원해밀턴점),02-749-2507,서울 용산구 이태원동 127-28번지,,7.0
91,CU(용산남영점),02-794-4640,서울 용산구 남영동 3-1번지,,
92,CU(남가좌현대점),02-308-7688,서울 서대문구 남가좌동 74-22번지,,1.0
93,CU(타워팰리스점),02-578-7010,서울 강남구 도곡동 467번지,2.0,2.0
94,CU(당산한강점),02-2633-7643,서울 영등포구 당산동4가 29번지,1.0,
95,CU(영등포중앙점),02-2679-7961,서울 영등포구 영등포동2가 177-2번지,,1.0
96,GS25(광나루점),02-444-7589,서울 광진구 광장동 323-2번지,,2.0
97,GS25(잠실점),02-424-5336,서울 송파구 방이동 38-3번지,1.0,1.0
98,GS25(신천으뜸점),02-421-8911,서울 송파구 잠실본동 186-7,1.0,1.0
99,GS25(잠실제일점),02-420-7931,서울 송파구 잠실동 204-10번지,,1.0
100,GS25(동숭점),02-741-2425,서울 종로구 혜화동 201,,3.0
101,GS25(방학점),02-3493-5800,서울 도봉구 방학동 603-28번지,,1.0
102,GS25(쌍문사계절점),02-900-1126,서울 도봉구 쌍문동 217-3번지,1.0,3.0
103,GS25(반포중앙점),02-514-4249,서울 서초구 반포동 739-35번지 1층,1.0,2.0
104,GS25(논현동국점),02-541-6160,서울 강남구 논현동 37-16번지,,1.0
105,GS25(도곡점),02-578-9424,서울 강남구 도곡동 411-16 GS25,,
106,GS25(관악한일점),02-581-7071,서울 관악구 남현동 602-11번지 한일빌딩1층,1.0,2.0
107,GS25(구로제일점),02-830-1963,서울 구로구 구로동 685-215번지 103호,3.0,3.0
108,GS25(마포공덕점),02-701-2524,서울 마포구 공덕동 249-12번지,,4.0
109,GS25(서울역점),02-704-5135,서울 용산구 동자동 43-120번지,,2.0
110,GS25(북가좌점),02-372-8411,서울 서대문구 북가좌동 309-1번지,,
111,GS25(동여의점),02-761-2575,서울 영등포구 여의도동 45-13번지 포레스텔빌딩17호,,5.0
112,GS25(사당신동아점),02-595-2524,서울 동작구 사당동 128-12,,1.0
113,CU(소피텔점),02-2269-8839,서울 중구 묵정동 18-9번지,2.0,3.0
114,GS25(경희점),02-962-2525,서울 동대문구 회기동 36-26번지,,1.0
115,GS25 동대문 쇼핑점,02-2233-1674,서울 중구 신당동 251-77 신세계빌딩 1층,,1.0
116,GS25(망원희망점),02-3143-2535,서울 마포구 망원동 406-16,,3.0
117,GS25(여의타워점),02-761-9377,서울 영등포구 여의도동 61-5번지 리버타워 102호,,3.0
118,CU(신정점),070-8873-6349,서울 양천구 신정동 1026-1번지 미성빌딩,,3.0
119,GS25(방이중앙점),02-3431-6330,서울 송파구 방이동 64번지,,2.0
120,GS25(문정중앙점),02-449-4575,서울 송파구 문정동 61-7,,
121,씨스페이스(강일본),070-4196-8010,서울 강동구 강일동 679-1,,3.0
122,GS25(대치골드점),02-508-8554,서울 강남구 대치동 896-52번지,,2.0
123,GS25(에클라트점),02-761-0794,서울 영등포구 여의도동 14-21번지 GS에클라트빌딩105호,,3.0
124,GS25(신림로점),02-826-8536,서울 동작구 신대방동 344-258번지,1.0,2.0
125,GS25(한남중앙점),02-796-2250,서울 용산구 한남동 657-85번지,,1.0
126,CU(용산신창점),02-702-0761,서울 용산구 신창동 59-4번지,,2.0
127,GS25(수유역점),02-990-6776,서울 강북구 번동 418-9번지,,2.0
128,GS25(종로내수점),080-855-5525,서울 종로구 내수동 75번지 용비어천가오피스텔 1층 103호,,1.0
129,GS25(논현삼익점),02-3442-7840,서울 강남구 논현동 51번지 로뎀빌딩 1층,,1.0
130,GS25(방이진실점),02-3431-6463,서울 송파구 방이동 34-9번지 1층2호,,3.0
131,CU(포레스트힐점),02-762-7212,서울 종로구 효제동 65-2 1층 101호 씨유포레스트힐점,1.0,3.0
132,보물섬복권판매점,000-000-0000,서울 송파구 문정2동 651-4,,
133,터져라로또,02-2654-3382,서울 양천구 목동 406-21번지,,1.0
134,소비자할인마트,02-867-0979,서울 관악구 신림동 1659-4번지,,1.0
135,행운식품,,서울 관악구 신림동 1598-2,,2.0
136,로또,070-4230-4658,서울 강서구 가양제1동 784-13 CU마곡아르디에점,1.0,2.0
137,명당,02-2605-5835,서울 강서구 화곡동 339-23,1.0,4.0
138,공원수퍼,02-2696-3861,서울 강서구 화곡동 372-95번지,,7.0
139,복권,,서울 관악구 봉천동 196-33,3.0,4.0
140,로또복권,02-884-6128,서울 관악구 봉천동 930-3,,3.0
141,행복만들기,02-857-6457,서울 관악구 신림동 517-6,1.0,2.0
142,대박로또,02-863-5174,서울 관악구 신림동 763-20,1.0,4.0
143,은혜기획사로또,02-6052-8125,서울 광진구 중곡동 83-8번지,,3.0
144,나눔행운로또,02-3437-9909,서울 광진구 중곡동 290-4번지,,
145,청송상회,02-447-5795,서울 광진구 구의동 222-64번지,,1.0
146,동서울로또,,서울 광진구 구의동 546-1 동서울터미널 정문앞 로또가판점,2.0,7.0
147,Today,,서울 광진구 구의동 546-4번지 테크노마트9층판매동24호,3.0,3.0
148,로또천국,02-463-4735,서울 광진구 군자동 345번지,1.0,3.0
149,세븐몽키스커피,02-497-7070,서울 광진구 군자동 469-22번지 1층2호,,3.0
150,성동약국,02-452-1809,서울 광진구 자양동 584-13번지,,
151,올강,02-465-0645,서울 광진구 광장동 484,,
152,신영상회,02-816-2802,서울 동작구 노량진제2동 235-5,,2.0
153,한냉매점,02-2254-8550,서울 동작구 노량진제2동 13-6 2층 10호,1.0,2.0
154,양지복권방,02-823-2871,서울 동작구 신대방제1동 719 105동 114호 CU,2.0,4.0
155,은경식품,02-813-2613,서울 동작구 상도동 477-2,,1.0
156,인동상회,02-951-0303,서울 노원구 상계동 173-1번지 벽산아파트상가108-116,1.0,6.0
157,동아슈퍼,02-935-7864,서울 노원구 상계동 673번지 9단지유치원104호,1.0,4.0
158,우성슈퍼,02-427-6715,서울 강동구 암사동 421-6번지,1.0,1.0
159,삼익마트,02-442-8845,서울 강동구 명일동 341-5번지 1층,2.0,3.0
160,롯데마트,02-442-8604,서울 강동구 상일동 342번지,,6.0
161,동원마트,02-476-4756,서울 강동구 성내동 412-6번지,1.0,4.0
162,그린슈퍼,02-476-0509,서울 강동구 길동 355-1번지,1.0,7.0
163,시흥식품,02-808-5861,서울 금천구 시흥동 121-10 1층,1.0,5.0
164,대성미니슈퍼,02-865-0207,서울 관악구 신림동 566-8,,
165,럭키슈퍼,02-803-7900,서울 금천구 시흥동 985-12 신라상가114호,,2.0
166,혜성슈퍼,02-877-5707,서울 관악구 신림동 1535,,5.0
167,유창슈퍼,02-805-7947,서울 금천구 독산동 1136 진도아파트상가101호,,8.0
168,대화식품,02-867-6372,서울 금천구 독산동 296-16,,6.0
169,대부,02-2207-8899,서울 중랑구 묵동 181-61 1층,,1.0
170,로또 마트,02-532-4487,서울 서초구 서초동 1303-16,1.0,6.0
171,로또판매,02-549-9755,서울 강남구 일원동 645-6 1층 일월마트,,
172,강남자곡로또,02-000-0000,서울 강남구 자곡동 651 111-2호,2.0,2.0
173,그루터기(상일쉼터),070-8826-2056,서울 강동구 고덕동 236-3,,4.0
174,이마트24 강동본점,02-474-6059,서울 강동구 성내동 38-3,1.0,4.0
175,쌍둥이네복권방,02-486-7630,서울 강동구 암사동 500번지 1층,,7.0
176,강일코사할인마트,,서울 강동구 강일동 699 105호,3.0,4.0
177,왕대박,02-985-7440,서울 강북구 송중동 134-94 1층 CU편의점,,6.0
178,로또복권판매,02-985-8689,서울 강북구 번동 433-54번지,,
179,오로라복권방,02-3437-6868,서울 광진구 자양동 616-33번지 국민은행자양동지점 50m,2.0,5.0
180,성민로또방,02-2069-3044,서울 구로구 신도림동 292-37번지 1층,,4.0
181,일성,02-903-8959,서울 도봉구 창동 578-38번지,,1.0
182,대박,02-2212-7072,서울 동대문구 답십리동 495-1번지,,1.0
183,장안홈타운,02-2244-3661,서울 동대문구 장안동 355-1,1.0,1.0
184,로또마트,02-2243-1696,서울 동대문구 장안동 418-11번지 1층 4호,,1.0
185,준로또,02-2215-2359,서울 동대문구 장안동 427-2,1.0,3.0
186,로또복권판매,02-832-1760,서울 동작구 신대방동 395-68,,
187,대박로또,,서울 성동구 용답동 49-17,2.0,3.0
188,로또복권,02-918-0457,서울 성북구 하월곡동 62-4번지,,
189,어머화장품,02-420-1506,서울 송파구 석촌동 261-17번지,1.0,3.0
190,신천대로점,02-425-3534,서울 송파구 잠실동 175-12번지 CU편의점내,1.0,1.0
191,설반,02-407-9106,서울 송파구 가락동 47-14번지 1층3호,,5.0
192,여명슈퍼마켓,02-916-6303,서울 성북구 장위동 230-188번지,1.0,
193,행운마트,02-913-3535,서울 성북구 하월곡동 90-121번지,,3.0
194,아이지에이,02-917-1988,서울 성북구 정릉동 780번지 산장아파트산장상가1층15호,,2.0
195,데이앤나잇,02-916-6584,서울 성북구 종암동 132 종암우림카이저팰리스 1층 101호,6.0,7.0
196,일공일사(1014),02-3443-0022,서울 성북구 성북동1가 116,,1.0
197,한양슈퍼복권,02-921-1971,서울 성북구 보문동5가 148번지,2.0,2.0
198,보원상회,02-923-2136,서울 성북구 보문동7가 22-14번지,,4.0
199,크로바,02-764-5685,서울 종로구 창신동 411-16,1.0,2.0
200,보성상회,02-457-9067,서울 광진구 자양동 774-14번지,,2.0
201,세븐일레븐 강변테크노마트점,02-3424-1091,서울 광진구 구의동 546-4번지 테크노마트지하판매동1층D004,,5.0
202,현대식품,02-447-5227,서울 광진구 구의동 243-22번지,,3.0
203,성우미니마트,02-419-9436,서울 송파구 송파1동 122-9,,3.0
204,럭키슈퍼,02-422-9745,서울 송파구 송파동 87-20번지,,1.0
205,제일유통,02-470-8052,서울 송파구 가락동 97번지,,4.0
206,제일유통,02-470-8052,서울 송파구 가락동 97번지,,3.0
207,명진슈퍼,02-430-9938,서울 송파구 문정동 97-4번지,2.0,8.0
208,해피데이마트,02-409-9792,서울 송파구 문정동 30-17번지 1층,,7.0
209,행운마트,02-400-4317,서울 송파구 오금동 85-8번지 1층,2.0,3.0
210,우일,02-430-8418,서울 송파구 마천동 25-2번지,4.0,12.0
211,혜성슈퍼,02-406-5020,서울 송파구 가락동 132-7번지,,6.0
212,한일슈퍼,02-430-1863,서울 송파구 마천동 329-30번지,,3.0
213,동원식품,02-400-5821,서울 송파구 가락동 154-18번지,,4.0
214,그린마트,02-422-6664,서울 송파구 방이동 67-12번지,,1.0
215,양광마트,02-376-1492,서울 은평구 응암동 598-11번지,,4.0
216,피터팬,02-387-6478,서울 은평구 녹번동 206번지,,1.0
217,쎄븐타임,02-794-6227,서울 용산구 효창동 5-219번지 1층102호,1.0,3.0
218,아이비즈마트,02-711-1862,서울 용산구 서계동 264-3번지,,1.0
219,해태24시,02-2696-1735,서울 양천구 신월동 126-35 1층,1.0,4.0
220,로또행운마트,02-2696-1907,서울 양천구 신월동 52-11번지 1층,1.0,6.0
221,롯데마트999(회기점),02-965-5093,서울 동대문구 회기동 60-125번지 롯데마트999내 위치함.,,1.0
222,우성빨래방,02-2217-7890,서울 동대문구 장안동 306-3번지 우성휠포커스텔1층104호,,3.0
223,세븐일레븐마포구청점,02-306-6697,서울 마포구 성산동 591-1번지 대우이안1차 106호,,3.0
224,CU경기대사거리점,02-365-4097,서울 서대문구 충정로2가 184-7,,1.0
225,스파,02-951-6465,서울 노원구 상계동 666-3 주공10단지종합상가111,35.0,147.0
226,로그인,02-2296-5492,서울 광진구 중곡동 634-4번지,,
227,오렌지스토아,02-497-6355,서울 광진구 중곡동 245-1번지 우진빌딩1층,,7.0
228,MS마트,02-458-8649,서울 광진구 구의동 229-7,,9.0
229,가로매점,02-981-4399,서울 강북구 미아동 35-4번지 cgv 앞 가판,1.0,2.0
230,교통카드판매소,02-990-3087,서울 강북구 수유동 191-14번지 가판,1.0,11.0
231,구청앞로또명당,02-998-1293,서울 강북구 수유동 191-58번지,2.0,9.0
232,토큰판매점,02-980-1191,서울 강북구 미아동 60-5번지 가판,2.0,7.0
233,토큰박스,02-997-0564,서울 강북구 번동 446-50번지 KFC앞 가판,,5.0
234,일등복권방,02-2691-8011,서울 양천구 신정동 992-1번지 보성빌딩105호,,1.0
235,로또복권판매,,서울 영등포구 영등포동7가 76-2번지,,4.0
236,만복복권,02-749-2928,서울 용산구 용문동 38-31,,4.0
237,배임,02-749-0108,서울 용산구 보광동 217-31 와룡문구내,1.0,6.0
238,갑부복권,02-793-9633,서울 용산구 한남동 631-5번지,2.0,7.0
239,월드마켓,02-358-4624,서울 은평구 불광동 281-171,,1.0
240,행운복권방,02-306-0568,서울 은평구 응암동 598-18번지 1층 3호,2.0,1.0
241,씨스페이스 역촌점,02-351-9810,서울 은평구 역촌동 51-79 1층 우측 두번째 점포,6.0,3.0
242,만물사,02-757-2861,서울 중구 남대문로4가 20-10번지,,3.0
243,YG복권방,02-6031-8934,서울 중구 다동 155번지 YG타워 1층 111호,1.0,
244,로또,02-2233-3885,서울 중구 신당동 133-14번지,4.0,8.0
245,다연마트,02-435-0087,서울 중랑구 면목동 150-4번지,1.0,5.0
246,행운로또방(CU양재역점),070-4211-6109,서울 강남구 도곡동 953-11 CU편의점,,1.0
247,삼성복권,02-554-8887,서울 강남구 대치동 957-3 삼성슈퍼,,3.0
248,몽유호가(夢有好家),02-476-1007,서울 강동구 성내동 319-33번지 1층5호,,4.0
249,행운로또,,서울 강동구 길동 125-5,2.0,2.0
250,로또,,서울 강동구 천호동 289,1.0,6.0
251,우이담배가게,02-906-5311,서울 강북구 인수동 404-31번지,,9.0
252,복권판매점,02-986-0326,서울 강북구 미아동 51-16,,
253,대박복권마트,02-2606-0034,서울 강서구 화곡동 111-67번지 1층 2호,,3.0
254,월드복권,02-830-2633,서울 금천구 가산동 371-6 GBC 101호,,3.0
255,정원복권방,02-994-1026,서울 도봉구 창동 655-20 1층 101-3호,2.0,14.0
256,행운복권방,,서울 도봉구 창동 134-36번지 우림빌딩106,4.0,7.0
257,성경스튜디오,02-963-4577,서울 동대문구 청량리동 678번지,1.0,1.0
258,세븐로또,02-961-3406,서울 동대문구 용두동 40-4번지,,6.0
259,꽃돼지로또방,02-2249-2814,서울 동대문구 답십리동 469-1,,2.0
260,청량로또,02-967-6354,서울 동대문구 청량리동 53-20,,
261,세명복권,02-392-3458,서울 마포구 서교동 453-3번지 1호,,3.0
262,마포 스토리점 로또판매,02-336-6697,서울 마포구 서교동 445-4,,6.0
263,대박복권방,02-923-7930,서울 성북구 동소문동5가 56-3,1.0,2.0
264,담배,02-981-1922,서울 강북구 미아동 777-3번지,2.0,7.0
265,가판대,02-2269-1951,서울 중구 을지로4가 28번지,1.0,3.0
266,국민은행앞가판점,02-2233-1757,서울 중구 을지로2가 9-1번지,1.0,10.0
267,종합가판제141호,02-2236-5931,서울 중구 황학동 686번지,1.0,5.0
268,가로판매점117호,02-2273-6671,서울 중구 을지로6가 18-88번지,2.0,
269,토큰박스45,02-2277-0379,서울 중구 광희동1가 186-1번지,1.0,2.0
270,상호없음,02-2238-0417,서울 중구 신당제2동 365-13,,2.0
271,가판점,02-2279-1953,서울 중구 을지로4가 140-1,,2.0
272,종로3가1호선역2번출구가로판매점82호,02-743-6544,서울 종로구 종로3가 23-1 가판,4.0,20.0
273,가로판매대,02-723-5224,서울 종로구 교남동 46 육교에서 30m 떨어진 가판(협신빌딩앞 가판),3.0,3.0
274,가야복권방,02-747-4604,서울 종로구 무악동 82 1층 103-1호,,1.0
275,동대문1번출구앞가로가판점(65호),02-741-9781,서울 종로구 창신동 551,,6.0
276,상호없음,02-722-5916,서울 종로구 신문로1가 10-1번지,,6.0
277,SK텔레콤종로지점앞가판대,02-723-0485,서울 종로구 관철동 290 SK텔레콤종로지점 앞 가판대,,4.0
278,신사우리가판,02-516-7234,서울 강남구 신사동 501-2,1.0,5.0
279,버스표판매소,02-542-6220,서울 강남구 압구정동 426번지 신현대9차 상가1동 출입구 앞,,1.0
280,선릉가판점,02-557-3866,서울 강남구 역삼동 696-40,1.0,6.0
281,버스표판매소,02-3442-0452,서울 강남구 신사동 584-3,,2.0
282,가로판매대(구)-3,02-515-2494,서울 강남구 압구정동 458,,1.0
283,행복편의점,02-855-5485,서울 구로구 구로동 142-65번지,1.0,
284,버스토큰판매소,02-856-5898,서울 구로구 구로동 1123-1번지 꽃집 옆 가판대,2.0,8.0
285,교통카드판매대,02-2633-1615,서울 구로구 신도림동 337번지,1.0,7.0
286,가판점,02-2611-0929,서울 구로구 온수동 119번지,1.0,5.0
287,종합가판점,02-861-1227,서울 구로구 구로동 435번지 구로구청 앞 버스정류장 앞 가로매점,,4.0
288,서울구가-17가판,02-868-2488,서울 구로구 구로동 731-4번지 구로4동우체국앞가판,2.0,6.0
289,버스토큰판매소,02-2687-5284,서울 구로구 개봉동 157-13번지,1.0,5.0
290,명당복권,02-969-0959,서울 동대문구 용두동 711-4번지 가판,4.0,8.0
291,종합가판점,02-959-5686,서울 동대문구 전농동 620-69 청량리역 4번출구 가판점,7.0,48.0
292,스카라극장초동가판점,02-2267-2097,서울 중구 초동 40-1,,1.0
293,상호없음,02-756-1097,서울 중구 태평로2가 43,,2.0
294,명동2가로또가판대,02-777-7949,서울 중구 명동2가 97-2번지,1.0,3.0
295,가판100호,02-2277-6022,서울 중구 을지로3가 5-4번지,1.0,3.0
296,남대문회현역가판15호,02-319-3243,서울 중구 남창동 47-31번지,,4.0
297,신가로판매점,02-756-7830,서울 중구 태평로2가 360-1번지,,
298,가로판매대제152호(신),02-734-0659,서울 중구 남대문로1가 22-6번지,1.0,4.0
299,가로가판대제57호(구),02-319-2598,서울 중구 태평로2가 69-1번지,2.0,7.0
300,종합가로가판점,02-2279-6931,서울 중구 광희동1가 202-1번지,2.0,4.0
301,중구가판12호,02-3789-1440,서울 중구 남대문로5가 541번지,,
302,가로판매대제18호,02-777-5573,서울 중구 회현동1가 203,1.0,6.0
303,대박복권방,070-8818-0645,서울 성북구 석관동 127-55번지,,2.0
304,대만상사,02-6368-5949,서울 성북구 정릉동 394-3,1.0,5.0
305,윈윈,02-424-3313,서울 송파구 방이2동 70-2,,1.0
306,윤진복권방,02-443-2440,서울 송파구 가락동 70 영남빌딩105호,,3.0
307,석촌한솔점,02-422-0025,서울 송파구 석촌동 173-6 CU,,5.0
308,복돼지방,000-0000-0000,서울 송파구 석촌동 212 E-MART24,,1.0
309,CU로또 잠실점,,서울 송파구 잠실6동 7-28 101-2호 CU편의점,,2.0
310,드림공인중개사사무소,02-2648-7722,서울 양천구 목동 526번지 광진상가1층104,,4.0
311,중앙복권,02-2606-0393,서울 양천구 신월동 961-5번지 이프랜드내,,3.0
312,하나아파텔점로또판매,02-831-2822,서울 영등포구 도림동 265-6번지 하나빌딩1층,,2.0
313,골드복권방(웨이스탑면목점),,서울 중랑구 면목본동 126-4 1층,2.0,5.0
314,로또복권,02-6013-1788,서울 노원구 공릉1동 386-1번지,,3.0
315,신나라복권나라,02-968-8438,서울 동대문구 이문제2동 251-7,1.0,2.0
316,살맛나는 세상,02-2214-3463,서울 동대문구 장안동 93-86 GS25시 휘경주공점,,5.0
317,로또가맹점,02-2213-7058,서울 동대문구 신설동 98-27 101호,,2.0
318,돼지슈퍼,02-717-5946,서울 마포구 합정동 387-1,,1.0
319,로또복권방,02-921-6317,서울 성북구 동소문동3가 34번지,1.0,1.0
320,대명로또,02-408-5499,서울 송파구 마천동 123-12번지 1층,,4.0
321,클로버 복권판매점,02-422-6782,서울 송파구 방이동 175-7번지 102호,1.0,3.0
322,태성철물,02-413-7824,서울 송파구 방이동 98-16,,2.0
323,명로또,02-408-1551,서울 송파구 문정동 75-10번지,,5.0
324,로또판매점,02-2696-5654,서울 양천구 신월동 550-3번지 승일뷰티타워 103호,,1.0
325,대박복권방,02-2605-6832,서울 양천구 신정동 902-10번지 1층1호,2.0,9.0
